id;name;bank_name;number;amount;due_date;bank_check_type;bank_check_kind;swift;type
1;fault-tolerant Cambridgeshire Maine;programming end-to-end bluetooth;Point South Africa payment;43523;2020-11-04;TRAIT;SUBMITTED;Yuan Renminbi Beauty;gold
2;sticky;India;copying;92243;2020-11-05;CHECK;SUBMITTED;Iowa Dynamic;productize Customer
3;integrated Awesome Fresh Hat Technician;wireless backing up bypass;Mall Road;45066;2020-11-05;TRAIT;RECEIVED;Berkshire;Sausages
4;Pants;Austria Applications;partnerships tangible;29487;2020-11-05;CHECK;RECEIVED;Checking Account Investor Handcrafted;Cambridgeshire Designer Gloves
5;program;Direct e-tailers;Chair;54236;2020-11-05;TRAIT;SUBMITTED;Personal Loan Account Jewelery;Quality-focused JSON
6;open system;Checking Account;input Harbors Incredible;16855;2020-11-04;CHECK;RECEIVED;Dynamic Avon leading edge;Investment Account synthesize Vermont
7;invoice invoice;Metal AI Incredible Granite Chicken;Ergonomic Plastic Salad;38420;2020-11-05;TRAIT;SUBMITTED;Grove Table;Personal Loan Account Ergonomic payment
8;Designer Practical;Paradigm demand-driven;intranet users;47551;2020-11-05;TRAIT;RECEIVED;Strategist;Canadian Dollar District
9;middleware;infomediaries turquoise;methodologies Ball;13565;2020-11-04;TRAIT;RECEIVED;Research;Concrete
10;ADP Legacy Analyst;Cedi;back up;50268;2020-11-04;TRAIT;RECEIVED;Orchestrator Money Market Account;Outdoors
