id;local_number;street_address;postal_code;city;state_province;country_name;flag;flag_content_type
1;Diverse hacking Automotive;programming Colorado;experiences Marketing;West Breana;parsing Orchestrator Gorgeous;Plastic Buckinghamshire Berkshire;../fake-data/blob/hipster.png;image/png
2;Brand capacitor;Avon;New Hampshire;Kovacekfort;open architecture;bandwidth;../fake-data/blob/hipster.png;image/png
3;ubiquitous Wooden;Corporate navigate Brand;card ivory;Bartonhaven;optimizing;transform;../fake-data/blob/hipster.png;image/png
4;Streamlined;Architect;program;Port Damion;Games;Ergonomic Granite Hat;../fake-data/blob/hipster.png;image/png
5;Money Market Account Cotton Chile;strategize Shoes supply-chains;Movies;Lake Dwight;integrate;tangible implementation intranet;../fake-data/blob/hipster.png;image/png
6;hacking communities Sleek Metal Bike;bypass;Games;West Lia;Movies;multi-byte connect;../fake-data/blob/hipster.png;image/png
7;invoice Marketing;primary Sleek;well-modulated tan;Quentinburgh;input generate Technician;tangible;../fake-data/blob/hipster.png;image/png
8;Illinois turquoise sticky;web services;Buckinghamshire;East Larissaberg;program;Quality connecting;../fake-data/blob/hipster.png;image/png
9;SMS online;initiatives static time-frame;Internal Investment Account solid state;Caesarberg;North Dakota;intangible B2B function;../fake-data/blob/hipster.png;image/png
10;Automated SSL deliver;e-business;Silver bus;North Gillian;Ameliorated Clothing hub;groupware;../fake-data/blob/hipster.png;image/png
