id;local_number;street_address;postal_code;city;state_province;country_name;flag;flag_content_type
1;Distributed;Chicken;Director calculate;Edwardoton;Interactions out-of-the-box;Tunnel Florida utilize;../fake-data/blob/hipster.png;image/png
2;Internal Quetzal primary;viral Triple-buffered;e-tailers Fish;Bruenside;Specialist recontextualize;bleeding-edge Cotton Investor;../fake-data/blob/hipster.png;image/png
3;Beauty French Guiana;productivity Italy;Organized;East Jeremy;generating Afghani;synthesizing transmit PNG;../fake-data/blob/hipster.png;image/png
4;Tasty HDD Sleek;empower;Integration withdrawal;Eltonshire;Administrator Electronics;payment;../fake-data/blob/hipster.png;image/png
5;invoice;neural-net;Generic Soft Fish Bedfordshire seamless;Annabelmouth;channels auxiliary;Bedfordshire Checking Account Human;../fake-data/blob/hipster.png;image/png
6;Kip back-end invoice;Avon Cape Verde withdrawal;primary Street JSON;Ankundingview;olive Plastic;bandwidth;../fake-data/blob/hipster.png;image/png
7;B2B initiatives Shirt;withdrawal olive;reboot;Weissnatport;Lane;digital copy Berkshire;../fake-data/blob/hipster.png;image/png
8;Home Loan Account;Director transmitting California;enterprise green Buckinghamshire;Croninton;compress;AGP Jordanian Dinar Gorgeous;../fake-data/blob/hipster.png;image/png
9;payment Architect;dynamic payment upward-trending;Tactics;East Demetris;input;Marketing paradigms;../fake-data/blob/hipster.png;image/png
10;Dynamic Kenyan Shilling fault-tolerant;firewall salmon Somali Shilling;program;North Milanport;Mountains Personal Loan Account Gorgeous Concrete Gloves;ubiquitous;../fake-data/blob/hipster.png;image/png
