id;local_number;street_address;postal_code;city;state_province;country_name;flag;flag_content_type
1;Pizza Way;Directives;Focused;West Adalbertoton;Garden;Tactics program Health;../fake-data/blob/hipster.png;image/png
2;best-of-breed quantify;Director;innovate Web;Handshire;Intelligent Frozen Pizza applications Decentralized;exploit Optimized;../fake-data/blob/hipster.png;image/png
3;matrices circuit;Practical context-sensitive Synchronised;1080p;Murphymouth;CSS;Analyst transmitting;../fake-data/blob/hipster.png;image/png
4;Outdoors;encoding Practical;Russian Ruble program Handcrafted Wooden Gloves;East Ovafurt;Barbados Dollar applications Cotton;New Jersey Hollow;../fake-data/blob/hipster.png;image/png
5;Baby;architectures bypassing viral;Human SMS Pula;Port Vernerville;Hungary generate;Cambridgeshire Borders connect;../fake-data/blob/hipster.png;image/png
6;web-readiness;digital Unbranded Soft Pants;European Unit of Account 9(E.U.A.-9) Assurance;Lake Lucasport;compressing background Director;bypassing deposit Product;../fake-data/blob/hipster.png;image/png
7;back up;maximize;Sao Tome and Principe convergence;Stokesbury;24/365 SAS Diverse;Steel actuating;../fake-data/blob/hipster.png;image/png
8;Plastic;utilize Mississippi;neural-net Berkshire;Port Addieland;Grocery;West Virginia Senior;../fake-data/blob/hipster.png;image/png
9;firewall wireless;Consultant Libyan Arab Jamahiriya Officer;Up-sized Directives enable;Ezekielview;eyeballs;Democratic People's Republic of Korea mint green programming;../fake-data/blob/hipster.png;image/png
10;Virgin Islands, British;bypassing Oman Handcrafted;24/365 program redundant;Auerland;overriding;time-frame;../fake-data/blob/hipster.png;image/png
