id;local_number;street_address;postal_code;city;state_province;country_name;flag;flag_content_type
1;Industrial;Specialist;New Hampshire withdrawal;Boyleville;payment Horizontal;calculate Kentucky Books;../fake-data/blob/hipster.png;image/png
2;architectures;hub XML RSS;Personal Loan Account;Hanestad;Chicken Global Belarus;Coordinator matrix;../fake-data/blob/hipster.png;image/png
3;Auto Loan Account River Music;Platinum;Palladium haptic;Wildermantown;1080p Sleek;Frozen magenta Michigan;../fake-data/blob/hipster.png;image/png
4;Rustic Concrete Bike Steel;back up purple Fish;Gourde US Dollar collaborative;Lake Maceyborough;Buckinghamshire;Bedfordshire Solutions;../fake-data/blob/hipster.png;image/png
5;Product Agent Sharable;array Markets Unbranded Rubber Towels;purple;Port Manuela;foreground payment;Beauty XML Diverse;../fake-data/blob/hipster.png;image/png
6;Saint Vincent and the Grenadines Refined Plastic Keyboard Refined Cotton Table;New Taiwan Dollar Tasty Granite Tuna;compressing;Hilpertland;indexing Practical Concrete Ball bypass;Saint Pierre and Miquelon Applications;../fake-data/blob/hipster.png;image/png
7;reboot;Ergonomic Frozen Towels;Implementation;East Megane;schemas Wooden;portal;../fake-data/blob/hipster.png;image/png
8;Frozen;functionalities;Chief reboot Utah;Santafort;USB Investment Account Directives;Chilean Peso Unidades de fomento;../fake-data/blob/hipster.png;image/png
9;Berkshire;Seamless Administrator;Kwanza mobile;West Mya;Surinam Dollar applications payment;mindshare Product backing up;../fake-data/blob/hipster.png;image/png
10;visualize extensible;Iowa Rustic Frozen Chair Manat;hardware;East Reuben;indigo Minnesota;Stand-alone;../fake-data/blob/hipster.png;image/png
