id;name;logo;logo_content_type;phone_1;phone_2;fax;email_1;email_2;description;business_type;currency_unit;currency_quotient;commercial_register;is_activated;theme_color;facebook;linkedin;twitter;instagram
1;Isle;../fake-data/blob/hipster.png;image/png;Fantastic;connecting Personal Loan Account;payment Montserrat;"i(\@7..wdg54\";"QHKjo@Fj.-(#w1:";Metal Steel;PHYSIQUE;e-markets;98350;Central card;true;protocol SCSI;Chilean Peso Unidades de fomento withdrawal;Handcrafted;Philippines;standardization tan deposit
2;China;../fake-data/blob/hipster.png;image/png;District French Southern Territories;middleware next-generation;viral;"s'@wPoZE.K3X";"F1oBJU@t]n[PQ.:5";Granite;SARL;interactive Gorgeous;56990;vertical;true;Quality Azerbaijanian Manat;plug-and-play;firewall Savings Account redundant;monetize THX;Personal Loan Account Glen
3;Libyan Arab Jamahiriya;../fake-data/blob/hipster.png;image/png;AGP Pants;array unleash;Buckinghamshire RAM Auto Loan Account;"<BKEBf@1/{.}";"2'3P@k<jE.!O(";primary Mississippi Refined Fresh Table;SARL;local area network GB Investment Account;66455;Refined Comoro Franc Small Soft Pizza;false;Shirt;wireless;Electronics Chips streamline;Avon Associate responsive;partnerships Credit Card Account
4;Reduced;../fake-data/blob/hipster.png;image/png;generate New Mexico;Personal Loan Account;capability Uzbekistan aggregate;"T@5<.yNf";"'7yS@wN.TB";out-of-the-box input;SARL;Music Checking Account;24437;FTP bottom-line;true;Buckinghamshire cyan;multi-byte Buckinghamshire;Belize Up-sized National;Ergonomic;Integrated
5;Streets;../fake-data/blob/hipster.png;image/png;Grocery;systems;South Dakota Iowa Progressive;"nyQ:@H{4SoB.to]";"K*M@\.+`Lij";foreground pixel;SUARL;Rubber Savings Account convergence;12683;COM Keyboard;true;Borders;Baby;Agent;bandwidth;RAM Buckinghamshire Wyoming
6;Tuvalu e-markets;../fake-data/blob/hipster.png;image/png;transmitter Fresh;Checking Account;TCP ROI;"w@}RBfTv.Xu:MF";"<|@xtLU.|";navigate Configuration Avon;SUARL;dot-com cultivate Avon;56736;Research calculating;false;application client-server pink;Wooden Architect;convergence productize;Investor Gorgeous website;Re-engineered functionalities Extension
7;Rustic;../fake-data/blob/hipster.png;image/png;compressing;focus group Tasty Rustic Wooden Gloves;Czech Republic Cambridgeshire;"~@>.dc.V#N";"ZVd!A-@l=.U";tan;SARL;bandwidth;99269;Intelligent Metal Computer digital SMTP;true;Fork Micronesia Berkshire;Refined Re-contextualized;Concrete virtual Agent;Sausages Tuna connecting;East Caribbean Dollar Tasty invoice
8;New Hampshire cross-media;../fake-data/blob/hipster.png;image/png;Ball Bedfordshire;next-generation wireless;plum ivory orchestrate;")eU@9L%bi.v&";"/6VJb@tr:*iS..EO:z";bus Right-sized;SUARL;Gorgeous Checking Account redefine;7990;Louisiana Chicken reboot;false;white Licensed Concrete Chips;Future Personal Loan Account Mountains;Auto Loan Account Pitcairn Islands;Web;dynamic
9;Checking Account compress;../fake-data/blob/hipster.png;image/png;SMS Granite Face to face;cross-platform;Unbranded Cotton Table USB Palestinian Territory;"~@~FVIq.U=/";"tNpxQ@v0.d";override Rustic Granite Mouse Ergonomic;SARL;array;39883;magenta Ecuador;false;Rustic;frame;Handcrafted Auto Loan Account Buckinghamshire;Rand Namibia Dollar;olive
10;Berkshire flexibility;../fake-data/blob/hipster.png;image/png;Investment Account;Forks Saint Vincent and the Grenadines;Madagascar Object-based reboot;"=T|rD@6U.=c&2";"#jha@KCW\.D8Li=?";program Small Fresh Mouse implementation;SARL;sky blue niches CSS;52310;grid-enabled Mount Rubber;true;connecting;flexibility scalable firmware;program American Samoa;azure;Oklahoma Investment Account Cotton
